id,matricula_id,momento,tipo,nota
55,18,3,EXAMEN_FINAL,3.9
56,19,1,TRABAJO,4.3
57,19,2,PARCIAL_1,4.6
58,19,3,EXAMEN_FINAL,4.8
59,20,1,PARCIAL_1,2.8
60,20,2,PARCIAL_2,3.1
61,20,3,EXAMEN_FINAL,3.3
62,21,1,TRABAJO,3.5
63,21,2,PARCIAL_1,3.8
64,21,3,EXAMEN_FINAL,4.0
65,22,1,PARCIAL_1,4.1
66,22,2,PARCIAL_2,4.3
67,22,3,EXAMEN_FINAL,4.6
68,23,1,TRABAJO,2.9
69,23,2,PARCIAL_1,3.2
70,23,3,EXAMEN_FINAL,3.6
71,24,1,PARCIAL_1,3.7
72,24,2,PARCIAL_2,3.9
73,24,3,EXAMEN_FINAL,4.1
74,25,1,TRABAJO,4.4
75,25,2,PARCIAL_1,4.6
76,25,3,EXAMEN_FINAL,4.9
77,26,1,PARCIAL_1,2.6
78,26,2,PARCIAL_2,3.0
79,26,3,EXAMEN_FINAL,3.4
80,27,1,TRABAJO,3.8
81,27,2,PARCIAL_1,4.0
82,27,3,EXAMEN_FINAL,4.3
83,28,1,PARCIAL_1,3.2
84,28,2,PARCIAL_2,3.5
85,28,3,EXAMEN_FINAL,3.8
86,29,1,TRABAJO,4.1
87,29,2,PARCIAL_1,4.4
88,29,3,EXAMEN_FINAL,4.7
89,30,1,PARCIAL_1,2.9
90,30,2,PARCIAL_2,3.3
91,30,3,EXAMEN_FINAL,3.6
92,31,1,TRABAJO,3.6
93,31,2,PARCIAL_1,3.9
94,31,3,EXAMEN_FINAL,4.2
95,32,1,PARCIAL_1,4.2
96,32,2,PARCIAL_2,4.5
97,32,3,EXAMEN_FINAL,4.8
98,33,1,TRABAJO,2.7
99,33,2,PARCIAL_1,3.1
100,33,3,EXAMEN_FINAL,3.4
101,34,1,PARCIAL_1,3.8
102,34,2,PARCIAL_2,4.0
103,34,3,EXAMEN_FINAL,4.3
104,35,1,TRABAJO,4.2
105,35,2,PARCIAL_1,4.5
106,35,3,EXAMEN_FINAL,4.7
107,36,1,PARCIAL_1,2.8
108,36,2,PARCIAL_2,3.2
109,36,3,EXAMEN_FINAL,3.6
110,37,1,TRABAJO,3.9
111,37,2,PARCIAL_1,4.1
112,37,3,EXAMEN_FINAL,4.4
113,38,1,PARCIAL_1,3.0
114,38,2,PARCIAL_2,3.4
115,38,3,EXAMEN_FINAL,3.7
116,39,1,TRABAJO,4.3
117,39,2,PARCIAL_1,4.6
118,39,3,EXAMEN_FINAL,4.9
119,40,1,PARCIAL_1,2.5
120,40,2,PARCIAL_2,3.0
121,40,3,EXAMEN_FINAL,3.3
122,41,1,TRABAJO,3.7
123,41,2,PARCIAL_1,4.0
124,41,3,EXAMEN_FINAL,4.2
125,42,1,PARCIAL_1,3.3
126,42,2,PARCIAL_2,3.6
127,42,3,EXAMEN_FINAL,3.9
128,43,1,TRABAJO,4.4
129,43,2,PARCIAL_1,4.7
130,43,3,EXAMEN_FINAL,4.8
131,44,1,PARCIAL_1,2.9
132,44,2,PARCIAL_2,3.2
133,44,3,EXAMEN_FINAL,3.5
134,45,1,TRABAJO,3.6
135,45,2,PARCIAL_1,3.9
136,45,3,EXAMEN_FINAL,4.1
137,46,1,PARCIAL_1,4.1
138,46,2,PARCIAL_2,4.4
139,46,3,EXAMEN_FINAL,4.6
140,47,1,TRABAJO,2.8
141,47,2,PARCIAL_1,3.2
142,47,3,EXAMEN_FINAL,3.6
143,48,1,PARCIAL_1,3.7
144,48,2,PARCIAL_2,4.0
145,48,3,EXAMEN_FINAL,4.2
146,49,1,TRABAJO,4.5
147,49,2,PARCIAL_1,4.7
148,49,3,EXAMEN_FINAL,4.9
149,50,1,PARCIAL_1,2.6
150,50,2,PARCIAL_2,3.0
151,50,3,EXAMEN_FINAL,3.4
152,51,1,TRABAJO,3.8
153,51,2,PARCIAL_1,4.1
154,51,3,EXAMEN_FINAL,4.3
155,52,1,PARCIAL_1,3.2
156,52,2,PARCIAL_2,3.5
157,52,3,EXAMEN_FINAL,3.8
158,53,1,TRABAJO,4.2
159,53,2,PARCIAL_1,4.5
160,53,3,EXAMEN_FINAL,4.7
161,54,1,PARCIAL_1,2.9
162,54,2,PARCIAL_2,3.3
163,54,3,EXAMEN_FINAL,3.6
164,55,1,TRABAJO,3.6
165,55,2,PARCIAL_1,3.9
166,55,3,EXAMEN_FINAL,4.2
167,56,1,PARCIAL_1,4.3
168,56,2,PARCIAL_2,4.6
169,56,3,EXAMEN_FINAL,4.8
170,57,1,TRABAJO,2.7
171,57,2,PARCIAL_1,3.1
172,57,3,EXAMEN_FINAL,3.5
173,58,1,PARCIAL_1,3.8
174,58,2,PARCIAL_2,4.1
175,58,3,EXAMEN_FINAL,4.4
176,59,1,TRABAJO,4.4
177,59,2,PARCIAL_1,4.7
178,59,3,EXAMEN_FINAL,4.9
179,60,1,PARCIAL_1,2.5
180,60,2,PARCIAL_2,3.0
181,60,3,EXAMEN_FINAL,3.3
182,61,1,TRABAJO,3.7
183,61,2,PARCIAL_1,4.0
184,61,3,EXAMEN_FINAL,4.2
185,62,1,PARCIAL_1,3.3
186,62,2,PARCIAL_2,3.6
187,62,3,EXAMEN_FINAL,3.9
188,63,1,TRABAJO,4.3
189,63,2,PARCIAL_1,4.6
190,63,3,EXAMEN_FINAL,4.8
191,64,1,PARCIAL_1,2.8
192,64,2,PARCIAL_2,3.2
193,64,3,EXAMEN_FINAL,3.6
194,65,1,TRABAJO,3.9
195,65,2,PARCIAL_1,4.1
196,65,3,EXAMEN_FINAL,4.4
197,66,1,PARCIAL_1,3.0
198,66,2,PARCIAL_2,3.4
199,66,3,EXAMEN_FINAL,3.7
200,67,3,EXAMEN_FINAL,4.1
